url,label
"mp3raid.com/music/krizz_kaliko.html",safe
"bopsecrets.org/rexroth/cr/1.htm",safe
"http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html",safe
"espn.go.com/nba/player/_/id/3457/brandon-rush",safe
"yourbittorrent.com/?q=anthony-hamilton-soulife",safe
"allmusic.com/album/crazy-from-the-heat-r16990",safe
"corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx",safe
"myspace.com/video/vid/30602581",safe
"quickfacts.census.gov/qfd/maps/iowa_map.html",safe
"nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966",safe
"uk.linkedin.com/pub/steve-rubenstein/8/718/755",safe
"baseball-reference.com/players/h/harrige01.shtml",safe
"192.com/atoz/people/oakley/patrick/",safe
"nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html",safe
"escholarship.org/uc/item/5xt4952c",safe
"songfacts.com/detail.php?id=13410",safe
"casamanana.org/education/blba/",safe
"http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/",safe
"en.wikipedia.org/wiki/North_Dakota",safe
"soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/",safe
"perfectpeople.net/celebrity-star/6920/gidget-gein.htm",safe
"media.caltech.edu/press_releases/13186",safe
"wikiobits.com/Obits/TonyProudfoot",safe
"vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011",safe
"movies.yahoo.com/shop?d=hv&cf=info&id=1800340831",safe
"cyndislist.com/us/pa/counties",safe
"psychology.wikia.com/wiki/Phonemes",safe
"info.centriq.com/content/fivereasons",safe
"articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery",safe
"infinitysw.com/",safe
"strawberrycreekgardens.com/",safe
"spoke.com/dir/p/desantis/nick",safe
"wordsmith.org/words/pignus.html",safe
"http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003",safe
"almanac.logos.com/Denominations",safe
"gaming.wikia.com/wiki/Backbreaker_(video_game)",safe
"ceu.hu/",safe
"registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm",safe
"linkedin.com/pub/george-cleveland/7/80a/599",safe
"sunshinemills.com/",safe
"agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html",safe
"ctv.ca/generic/WebSpecials/sponsorship_scandal/",safe
"veoox.com/tags/game.html",safe
"chuckwalkertrio.blogspot.com/",safe
"aerosolesshoes.org/",safe
"recipelink.com/msgbrd/board_14/2007/DEC/29094.html",safe
"ideas.repec.org/f/pma235.html",safe
"peopleaz.org/firstname/Fowlkes/6",safe
"orensamtraktrip.wordpress.com/",safe
"alexa.com/whatshot?q=james+arness",safe
"jpopasia.com/group/arashi/discography/",safe
"kitsapsun.com/photos/2011/feb/25/177999/",safe
"local.yahoo.com/info-42862457-oakland-international-airport-oakland",safe
"tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html",safe
"articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/",safe
"broadwaystars.com/classic/?source=www.playbill.com",safe
"forums.networkinfrastructure.info/motorola-wireless-lan-switches/",safe
"youtube.com/watch?v=mwpoPQ1SPJU",safe
"mccall-idchamber.org/",safe
"chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27",safe
"friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html",safe
"pipl.com/directory/name/Whissell/180",safe
"spokeo.com/John+Collet",safe
"http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/",safe
"faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/",safe
"duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada",safe
"http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/",safe
"en.wikipedia.org/wiki/Lloyd_Bacon",safe
"http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain",safe
"ciajfk.com/harold.html",safe
"indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday",safe
"linkedin.com/pub/charles-gariepy/2/642/28",safe
"eyeappealoptometry.com/",safe
"brophygen.com/",safe
"icehockey.wikia.com/wiki/Dan_Blackburn",safe
